numUAVs,本地执行,本地执行 feasible,标准目标函数,标准目标函数 feasible,LLM,LLM feasible,LLM+HS,LLM+HS feasible,最佳可行方案
3,391.0008,1.0,286.8845,1.0,214.8811,1.0,171.4547,1.0,LLM+HS
4,391.0008,1.0,268.4240,1.0,184.8456,0.0,125.2114,0.8889,标准目标函数
5,391.0008,1.0,267.3361,1.0,170.3492,0.0,91.4860,0.6667,标准目标函数
6,391.0008,1.0,260.4286,1.0,151.2316,0.0,66.2515,0.7778,标准目标函数
7,391.0008,1.0,260.3082,1.0,145.7086,0.0,48.5092,1.0,LLM+HS
8,391.0008,1.0,265.8481,1.0,143.9130,0.0,39.0043,0.4444,标准目标函数
9,391.0008,1.0,263.5207,1.0,139.8180,0.0,32.0489,0.5556,标准目标函数
